"_id","timestamp","device_id","touch_app","touch_action","touch_action_text","scroll_items","scroll_from_index","scroll_to_index"
2628,1588040040034,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.Slack","ACTION_AWARE_TOUCH_CLICKED","[Aaaa aaaaaaaaaa aaaaaa]",-1,-1,-1
2629,1588040040925,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.Slack","ACTION_AWARE_TOUCH_CLICKED","[*]",-1,-1,-1
2630,1588040042089,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.Slack","ACTION_AWARE_TOUCH_CLICKED","[1* Aaa aaaaaaaaaa* Aaa*aa aaaaaaa aa 1 aaaaaaaaaa]",-1,-1,-1
2631,1588040050537,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa]",-1,-1,-1
2632,1588040052829,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[Aaaa]",-1,-1,-1
2633,1588042291089,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaa]",-1,-1,-1
2634,1588042646867,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.android.systemui","ACTION_AWARE_TOUCH_CLICKED","[AAAAA AAAA]",-1,-1,-1
2635,1588042811784,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_SCROLLED_UP","",-1,-1,-1
2636,1588043477668,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","org.mozilla.firefox","ACTION_AWARE_TOUCH_CLICKED","[1 aaa]",-1,-1,-1
2637,1588075692314,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.android.systemui","ACTION_AWARE_TOUCH_CLICKED","[AaaaaAaa* ** 1 aaaaaaaa aaaa 1 aaaaa* ** 1a* Aaaaaa* Aaaaa Aaaaaaa* A*a aaaaaa aaa aaa aaaaaa aaa aaaaaa aa aaaaaaaaa aaaaa aaa aa aaaaaa aaaa aa aaaa aa a aaaaaaaaaaaa aa aaaaaaa aaaa aaa aaaaa aaa aaa aaaaa aa aa aaaaaa aa aaaaaa aaaaa aaa** Aaaa aaaaaa **** *1 aaaaaaaa** Aaaa* 1111]",-1,-1,-1
2638,1588075693981,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.whatsapp","ACTION_AWARE_TOUCH_CLICKED","[Aaaaa Aaaaaaa* Aaaaa Aaaaaaa* 11*11* A*a aaaaaa aaa aaa aaaaaa aaa aaaaaa aa aaaaaaaaa aaaaa aaa aa aaaaaa aaaa aa aaaa aa a aaaaaaaaaaaa aa aaaaaaa aaaa aaa aaaaa aaa aaa aa* 1]",-1,-1,-1
2639,1588075702169,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.whatsapp","ACTION_AWARE_TOUCH_CLICKED","[Aaaa a aaaaaaa]",-1,-1,-1
2640,1588075702517,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.whatsapp","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",47,40,46
2641,1588075706736,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.whatsapp","ACTION_AWARE_TOUCH_SCROLLED_UP","",47,39,46
2642,1588075707430,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.whatsapp","ACTION_AWARE_TOUCH_SCROLLED_UP","",47,34,46
2643,1588075709097,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.whatsapp","ACTION_AWARE_TOUCH_CLICKED","[Aaaa aaaaaa ***** Aaaa aaaaaa ***** Aaaaaaaaa* Aaaa* * 1111* 1]",-1,-1,-1
2644,1588075709240,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.whatsapp","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",47,39,46
2645,1588075714804,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[Aaaaa]",-1,-1,-1
2646,1588075716972,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.google.android.gm","ACTION_AWARE_TOUCH_CLICKED","[Aaaa aaaaaaaaaa aaaaaa]",-1,-1,-1
