"_id","timestamp","device_id","bt_address","bt_name","bt_rssi","label"
156,1587660524200,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-84,"1587660510803"
157,1587660524215,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-80,"1587660510803"
158,1587660524233,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","4E:F4:56:55:31:9C","",-100,"1587660510803"
159,1587660524252,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-89,"1587660510803"
160,1587660524265,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","D4:36:39:A4:BD:64","Instant Pot Smart",-86,"1587660510803"
161,1587660524280,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","B0:C5:54:49:E0:15","DCS-8010LH-E015",-99,"1587660510803"
162,1587660524302,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","74:CC:0D:3D:3F:3E","",-60,"1587660510803"
163,1587660524322,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","64:16:6D:37:18:CF","",-74,"1587660510803"
164,1587660524369,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","66:EB:31:F2:85:F3","",-89,"1587660510803"
165,1587660525515,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","77:B6:82:4C:33:66","",-88,"1587660510803"
166,1587660525713,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","E8:49:8C:00:47:5A","Amazfit Bip Watch",-67,"1587660510803"
167,1587662422439,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","63:52:87:71:29:AB","",-101,"1587662422312"
168,1587662422469,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","5B:76:D0:1F:E5:1C","",-96,"1587662422312"
169,1587662422487,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","72:78:20:16:4A:95","",-94,"1587662422312"
170,1587662422500,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","57:55:72:7C:BF:85","[LG] webOS TV OLED55B9PUA",-85,"1587662422312"
171,1587662422514,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","79:68:8F:55:50:D7","",-81,"1587662422312"
172,1587662422528,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","49:C6:A0:BC:63:C4","",-66,"1587662422312"
173,1587662422606,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","65:AD:FE:12:E8:37","",-74,"1587662422312"
174,1587662422627,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7F:BC:85:AC:84:6E","",-80,"1587662422312"
175,1587662422642,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","E8:49:8C:00:47:5A","Amazfit Bip Watch",-74,"1587662422312"
176,1587662422659,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7D:E8:E3:12:D0:58","",-93,"1587662422312"
177,1587662424002,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","7D:7E:1F:6A:55:37","",-90,"1587662422312"
178,1587662424028,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","53:BB:ED:A3:3D:EE","",-94,"1587662422312"
179,1587662424041,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","0F:5A:40:33:B4:D6","",-87,"1587662422312"
180,1587662424094,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","66:EB:31:F2:85:F3","",-96,"1587662422312"
181,1587662424113,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","5B:4A:E2:EC:2A:06","",-89,"1587662422312"
