"_id","timestamp","device_id","network_type","double_received_bytes","double_sent_bytes","double_received_packets","double_sent_packets"
4785,1588450254543,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4786,1588450254558,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,400,363,4,4
4787,1588450262595,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,-1
4788,1588450262612,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,564974,47110,189,324
4789,1588450263590,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4790,1588450263603,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,81853,5099,20,41
4791,1588450266601,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4792,1588450266639,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,70,11711,1,10
4793,1588450267199,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4794,1588450267245,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,77,0,1
4795,1588450267308,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4796,1588450267321,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,0,0,0
4797,1588450342608,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4798,1588450342637,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,20469,11738,44,49
4799,1588450342678,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4800,1588450342689,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,0,0,0
4801,1588450355516,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4802,1588450355533,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,23483,8012,38,44
4803,1588450362680,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4804,1588450362696,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,378,991,4,7
4805,1588450373680,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4806,1588450373692,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,370326,35613,248,264
4807,1588450375765,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-41897,0,0,0
4808,1588450375778,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,16015,2531,17,19
4809,1588450378683,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,-1,0
4810,1588450378702,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,447362,12084,81,91
4811,1588450382901,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,-1,-1
4812,1588450382910,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,97539,17891,87,92
4813,1588450393784,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4814,1588450393796,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,3035880,87706,379,324
4815,1588450395814,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4816,1588450395826,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,524,788,4,5
4817,1588450401850,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,0
4818,1588450401864,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,193239,40142,104,117
