"_id","timestamp","device_id","cid","lac","psc","signal_strength","bit_error_rate"
496,1588403016128,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
497,1588404987311,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
498,1588406768361,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
499,1588408542173,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
500,1588412118732,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
501,1588430009150,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
502,1588433225754,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
503,1588435082227,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
504,1588436867653,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
505,1588438058293,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
506,1588438058369,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
507,1588438058438,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
508,1588438685915,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
509,1588440489169,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
510,1588442291973,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
511,1588444094513,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
512,1588445897115,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
513,1588447699821,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
514,1588449498158,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
515,1588449930347,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44797,0,99,2147483647
516,1588449983438,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6051329,44798,0,99,2147483647
517,1588449984217,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44798,0,99,2147483647
518,1588449984364,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44797,0,99,2147483647
519,1588450010989,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",8921880,44797,0,99,2147483647
520,1588450011715,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",-1,44797,0,99,2147483647
521,1588450012094,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44797,0,99,2147483647
522,1588450023809,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6051349,44798,0,99,2147483647
523,1588450024945,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9000707,44797,0,99,2147483647
524,1588450037024,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",8921860,44797,0,99,2147483647
525,1588450037591,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44797,0,99,2147483647
526,1588450051460,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9000707,44797,0,99,2147483647
527,1588450078820,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6051349,44798,0,99,2147483647
528,1588450083133,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44797,0,99,2147483647
529,1588450085707,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",27229955,44797,0,99,2147483647
530,1588451184809,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9000707,44797,0,99,2147483647
531,1588451266228,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",27229965,44797,0,99,2147483647
532,1588451314513,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",27229965,44797,0,99,2147483647
533,1588451893875,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",9000707,44797,0,99,2147483647
534,1588452338850,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",27229965,44797,0,99,2147483647
535,1588452765223,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",27229957,44797,0,99,2147483647
536,1588452969190,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44797,0,99,2147483647
537,1588453092764,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070787,44797,0,99,2147483647
538,1588453338904,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070785,44797,0,99,2147483647
539,1588453550624,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6070786,44797,0,99,2147483647
540,1588454209731,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",27229965,44797,0,99,2147483647
541,1588454894738,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",27229965,44797,0,99,2147483647
542,1588455892979,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44797,0,99,2147483647
543,1588456694338,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44797,0,99,2147483647
544,1588456993657,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
545,1588458484024,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
546,1588460253940,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",6050307,44798,0,99,2147483647
